customer_id,name,email,phone,preferred_categories,preferred_price_range,created_date
1,Phạm Chi,customer1@email.com,0998414018,"Đậu hũ - Trứng,Gà - Bò,Đồ thêm,Lẩu",premium,2025-09-13
2,Đỗ Linh,customer2@email.com,0934601265,"Lẩu,Cơm niêu,Rau",moderate,2025-05-05
3,Lê An,customer3@email.com,0987498364,"Cơm niêu,Khai vị,Canh",budget,2025-08-29
4,Bùi Chi,customer4@email.com,0953596600,"Heo,Cá,Gà - Bò,Cơm đoàn",premium,2025-07-03
5,Bùi Vy,customer5@email.com,0975022523,"Cá,Canh,Đồ thêm",budget,2026-01-08
6,Hoàng Hà,customer6@email.com,0945109552,"Rau,Gà - Bò",budget,2026-04-11
7,Nguyễn Xuân,customer7@email.com,0990350497,"Cơm đoàn,Đồ thêm",budget,2025-07-09
8,Đặng An,customer8@email.com,0963192549,"Cá,Lẩu",moderate,2026-04-04
9,Phan Mai,customer9@email.com,0915155929,"Cơm đoàn,Đồ thêm",moderate,2025-07-18
10,Phạm Linh,customer10@email.com,0912420795,"Cá,Cơm đoàn,Heo",budget,2026-02-26
11,Bùi Tú,customer11@email.com,0923676609,"Đậu hũ - Trứng,Heo",budget,2025-12-07
12,Vũ Mai,customer12@email.com,0971831690,"Cơm niêu,Đồ thêm,Khai vị",moderate,2026-03-21
13,Phan Bình,customer13@email.com,0998114454,"Cơm niêu,Khai vị,Đồ thêm,Cơm đoàn",premium,2025-09-18
14,Hoàng Mai,customer14@email.com,0962162317,"Khai vị,Canh",premium,2025-10-24
15,Nguyễn Mai,customer15@email.com,0988601345,"Lẩu,Hải sản",moderate,2026-01-19
16,Bùi Thanh,customer16@email.com,0992095578,"Cơm đoàn,Heo,Hải sản",budget,2025-09-27
17,Bùi Dũng,customer17@email.com,0924679321,"Khai vị,Cá",budget,2025-12-07
18,Đỗ An,customer18@email.com,0964408538,"Hải sản,Đồ thêm",budget,2025-12-26
19,Đặng Tú,customer19@email.com,0969450202,"Cơm niêu,Cơm đoàn",moderate,2026-02-18
20,Phạm Quân,customer20@email.com,0970468414,"Khai vị,Lẩu",budget,2026-02-27
21,Phan Nam,customer21@email.com,0976937818,"Gà - Bò,Canh,Đồ thêm",affordable,2025-11-29
22,Nguyễn Mai,customer22@email.com,0948248551,"Rau,Cơm niêu,Heo,Đậu hũ - Trứng",budget,2025-06-25
23,Phạm Vy,customer23@email.com,0929965942,"Đậu hũ - Trứng,Heo,Cá,Cơm đoàn",affordable,2025-08-29
24,Phan Nam,customer24@email.com,0931321900,"Lẩu,Canh,Gà - Bò",budget,2026-03-05
25,Phan Linh,customer25@email.com,0954366977,"Heo,Đồ thêm,Cá,Lẩu",budget,2025-09-18
26,Phan Nam,customer26@email.com,0982718312,"Đậu hũ - Trứng,Canh,Gà - Bò,Cơm niêu",budget,2026-02-22
27,Hoàng Xuân,customer27@email.com,0997146628,"Hải sản,Đậu hũ - Trứng,Cơm niêu",premium,2025-06-03
28,Bùi Hùng,customer28@email.com,0936656835,"Đậu hũ - Trứng,Heo,Lẩu,Khai vị",budget,2026-01-24
29,Đặng Phương,customer29@email.com,0929482903,"Hải sản,Cá",budget,2026-03-22
30,Bùi Hùng,customer30@email.com,0930438207,"Cơm niêu,Đồ thêm",premium,2026-02-07
31,Lê Linh,customer31@email.com,0968850580,"Heo,Canh",budget,2025-12-02
32,Đỗ Thanh,customer32@email.com,0964363470,"Rau,Khai vị,Cơm đoàn",premium,2026-04-03
33,Đỗ Xuân,customer33@email.com,0993767672,"Đậu hũ - Trứng,Heo,Khai vị,Đồ thêm",premium,2025-10-03
34,Phạm Mai,customer34@email.com,0919103998,"Cơm niêu,Hải sản,Heo",moderate,2025-07-26
35,Hoàng Mai,customer35@email.com,0992934678,"Canh,Cơm niêu,Đậu hũ - Trứng",premium,2025-08-18
36,Đỗ Dũng,customer36@email.com,0917972327,"Cơm niêu,Gà - Bò",budget,2026-02-12
37,Bùi Nam,customer37@email.com,0919347039,"Hải sản,Gà - Bò,Canh,Rau",moderate,2025-12-02
38,Đặng Tú,customer38@email.com,0925645935,"Hải sản,Cơm niêu",affordable,2025-07-24
39,Nguyễn Mai,customer39@email.com,0931667859,"Khai vị,Đồ thêm",affordable,2026-04-11
40,Nguyễn Linh,customer40@email.com,0996325504,"Cơm niêu,Khai vị,Lẩu",affordable,2026-01-25
41,Đặng Dũng,customer41@email.com,0968681275,"Đậu hũ - Trứng,Gà - Bò,Hải sản",affordable,2026-03-21
42,Vũ Vy,customer42@email.com,0981325176,"Khai vị,Rau,Heo",affordable,2025-07-13
43,Lê Dũng,customer43@email.com,0976961808,"Hải sản,Đậu hũ - Trứng",moderate,2025-11-12
44,Lê Tú,customer44@email.com,0944281427,"Khai vị,Đồ thêm",affordable,2025-10-22
45,Phạm Quân,customer45@email.com,0911088484,"Cơm niêu,Hải sản",moderate,2025-10-07
46,Phan Thanh,customer46@email.com,0973664235,"Canh,Cơm niêu,Đậu hũ - Trứng",moderate,2025-06-05
47,Lê Dũng,customer47@email.com,0999217991,"Cá,Khai vị,Gà - Bò",affordable,2025-08-20
48,Bùi Chi,customer48@email.com,0971092129,"Đồ thêm,Gà - Bò,Rau,Cơm niêu",budget,2025-12-24
49,Bùi Quân,customer49@email.com,0921272047,"Khai vị,Đậu hũ - Trứng,Hải sản",premium,2026-02-28
50,Phan Xuân,customer50@email.com,0977892364,"Đồ thêm,Gà - Bò",affordable,2026-04-04
