order_id,customer_id,order_date,dish_ids,total_amount,status,payment_method,address,note,customer_name,customer_phone
1,48,2024-09-07 13:08:00,"13,28,44,132",245000,completed,momo,"Số 1 Nguyễn Huệ, Q1, TP.HCM",Không hành,,
2,39,2024-08-11 13:32:00,"48,103,105,132",420000,completed,momo,"Số 5 Lê Lợi, Q1, TP.HCM",Không hành,,
3,11,2024-01-07 22:51:00,"44,48,103,105,132",485000,delivering,bank,"Số 12 Trần Hưng Đạo, Q5, TP.HCM",,,
4,25,2024-12-10 11:05:00,"44,48,94,132",485000,completed,bank,"Số 12 Trần Hưng Đạo, Q5, TP.HCM",Không hành,,
5,8,2026-01-17 17:34:00,"44,49,96,132",360000,delivering,cod,"Số 8 Hai Bà Trưng, Q1, TP.HCM",,,
6,46,2025-01-05 19:12:00,"13,49,118",255000,completed,cod,"Số 3 Nguyễn Đình Chiểu, Q3, TP.HCM",,,
7,18,2024-08-26 11:24:00,"44,48,97,132",415000,cooking,bank,"Số 5 Lê Lợi, Q1, TP.HCM",,,
8,5,2025-12-19 20:41:00,"4,44,48,74,132",364000,cancelled,cod,"Số 8 Hai Bà Trưng, Q1, TP.HCM",,,
9,36,2024-10-03 20:44:00,"13,43,48,132",215000,completed,bank,"Số 1 Nguyễn Huệ, Q1, TP.HCM",,,
10,14,2025-02-14 14:04:00,"13,28,48,132",235000,cancelled,bank,"Số 5 Lê Lợi, Q1, TP.HCM",Ít cay,,
11,17,2025-10-20 17:09:00,"12,48,76,132",319000,completed,cod,"Số 3 Nguyễn Đình Chiểu, Q3, TP.HCM",Không hành,,
12,38,2025-08-21 16:57:00,"40,44,123,132",325000,delivering,bank,"Số 5 Lê Lợi, Q1, TP.HCM",,,
13,8,2026-02-12 10:55:00,"38,49,118,132",415000,completed,cod,"Số 3 Nguyễn Đình Chiểu, Q3, TP.HCM",Ít cay,,
14,17,2025-09-02 17:33:00,"13,48,119,132",245000,pending,cod,"Số 3 Nguyễn Đình Chiểu, Q3, TP.HCM",,,
15,8,2026-02-26 20:21:00,"40,44,123,132",325000,completed,bank,"Số 5 Lê Lợi, Q1, TP.HCM",Ít cay,,
16,49,2026-01-06 14:32:00,"13,28,48,132",235000,completed,momo,"Số 1 Nguyễn Huệ, Q1, TP.HCM",,,
17,11,2024-06-05 15:48:00,"38,49,118,132",415000,pending,momo,"Số 1 Nguyễn Huệ, Q1, TP.HCM",Không hành,,
18,20,2024-04-24 15:56:00,"1,48,61,132",330000,completed,cod,"Số 5 Lê Lợi, Q1, TP.HCM",Không hành,,
19,50,2024-03-11 22:34:00,"13,26,49,132",240000,completed,cod,"Số 3 Nguyễn Đình Chiểu, Q3, TP.HCM",Ít cay,,
20,47,2024-08-04 18:48:00,"27,48,125,132",320000,completed,cod,"Số 20 Đinh Tiên Hoàng, Q1, TP.HCM",,,
21,15,2025-04-07 11:15:00,"49,109,110,132",395000,completed,bank,"Số 1 Nguyễn Huệ, Q1, TP.HCM",Không hành,,
22,41,2024-01-08 11:45:00,"27,48,49,125,132",380000,completed,cod,"Số 1 Nguyễn Huệ, Q1, TP.HCM",,,
23,14,2024-10-12 20:31:00,"2,49,65,132",375000,pending,cod,"Số 3 Nguyễn Đình Chiểu, Q3, TP.HCM",Không hành,,
24,13,2025-04-29 22:26:00,"13,48,74",210000,completed,cod,"Số 3 Nguyễn Đình Chiểu, Q3, TP.HCM",Ít cay,,
25,44,2025-04-23 21:03:00,"4,48,74,132",299000,completed,cod,"Số 20 Đinh Tiên Hoàng, Q1, TP.HCM",,,
26,28,2025-07-03 17:08:00,"13,28,44,49,132",305000,completed,cod,"Số 20 Đinh Tiên Hoàng, Q1, TP.HCM",,,
27,42,2025-07-17 11:03:00,"13,26,49,132",240000,pending,cod,"Số 1 Nguyễn Huệ, Q1, TP.HCM",,,
